DateTime,AHU_ID,Flowrate,CHWS_Temperature,CHWR_Temperature,CHWR-CHWS,Supply_air_Temperature,Return_air_Temperature,Cooling_Power,Return_air_Co2,Supply_air_RH,Return_air_RH,Oncoil_Temperature,Offcoil_Temperature,Supply_air_static_pressure,Return_air_static_pressure,Differential_Pressure,Valve_Feedback,Outside_air_damper_feedback,Return_air_damper_feedback,Primary_air_damper_feedback,Exhaust_air_damper_feedback,VSD_feedback,Fan_power,Fan_energy,Room_ID,RH,Ambient_Temperature,CO2,Globe,PMV
2025-07-22 00:00:04,2,0.00375009,11.07,17.27,6.199999999999999,25.59,26.345,97.3983,451.8,72.68,57.8,13.8,29.35,-5.625,-7.8125,0.25,0.312502,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,56.87,27.5248,455.6,25.897,0.6659320932980549
2025-07-22 00:05:05,2,0.00375009,11.18,17.36,6.18,25.615,26.36,97.0841,455.6,72.52,57.8,13.89,29.41,-5.625,-7.625,0.25,0.312502,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,56.9,27.4982,461.0,25.9494,0.6693401289472158
2025-07-22 00:10:05,2,0.00375009,11.18,17.45,6.27,25.7,26.415,98.498,455.6,72.52,57.91,14.01,29.46,-5.625,-7.8125,0.25,0.312502,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,57.06,27.5248,456.2,26.0018,0.6824816063752018
2025-07-22 00:15:05,2,0.00375009,11.33,17.53,6.200000000000001,25.765,26.415,97.3983,455.2,72.41,58.02,14.06,29.52,-5.625,-7.8125,0.25,0.312502,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,57.09,27.5426,460.0,25.9756,0.6818787845844144
2025-07-22 00:20:05,2,0.00375009,11.48,17.62,6.140000000000001,25.845,26.455,96.4558,456.8,72.41,58.18,14.15,29.61,-5.625,-7.8125,0.25,0.3375,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,57.27,27.5426,456.2,26.0018,0.6871040091400807
2025-07-22 00:25:05,2,0.00375009,11.48,17.7,6.219999999999999,25.875,26.47,97.7125,455.6,72.33,58.21,14.21,29.67,-5.625,-7.8125,0.25,0.312502,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,57.49,27.5693,455.6,26.0543,0.7007819327082181
2025-07-22 00:30:05,2,0.00375009,11.6,17.79,6.19,25.915,26.51,97.2412,450.2,72.41,58.42,14.29,29.72,-5.625,-7.8125,0.25,0.650002,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,57.41,27.596,455.6,26.1592,0.7195132100761635
2025-07-22 00:35:05,2,0.00375009,11.66,17.88,6.219999999999999,25.97,26.56,97.7125,450.2,72.38,58.53,14.38,29.81,-5.625,-7.625,0.25,0.674999,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,57.63,27.596,455.2,26.1067,0.7137979509678993
2025-07-22 00:40:05,2,0.00375009,11.78,17.96,6.180000000000001,26.035,26.56,97.0841,450.8,72.33,58.5,14.46,29.87,-5.625,-7.8125,0.25,0.312502,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,57.71,27.596,460.6,26.1067,0.7144557350540176
2025-07-22 00:45:05,2,0.00375009,11.84,18.05,6.210000000000001,26.065,26.56,97.5554,455.2,72.3,58.83,14.55,29.92,-5.625,-7.625,0.25,0.275002,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,57.84,27.596,455.6,26.1329,0.7192790789176086
2025-07-22 00:50:05,2,0.00375009,11.92,18.13,6.209999999999999,26.065,26.615,97.5554,450.2,72.3,58.94,14.58,30.01,-5.625,-7.625,0.25,0.7875,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,57.95,27.6137,455.6,26.1329,0.7230774537765189
2025-07-22 00:55:05,2,0.00375009,12.04,18.22,6.18,26.145,26.605,97.0841,451.8,72.38,59.12,14.64,30.07,-5.625,-7.8125,0.25,0.3375,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,58.14,27.6404,455.6,26.1329,0.7290099634866484
2025-07-22 01:00:05,2,0.00375009,12.16,18.3,6.140000000000001,26.185,26.615,96.4557,450.8,72.25,59.12,14.72,30.12,-5.4375,-7.625,0.25,0.275002,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,58.09,27.6849,455.6,26.2378,0.7509209452528574
2025-07-22 01:05:05,2,0.00375009,12.34,18.39,6.050000000000001,26.225,26.655,95.0419,450.2,72.3,59.53,14.75,30.21,-5.4375,-7.8125,0.25,0.7125,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,58.19,27.7115,456.2,26.1854,0.74858769453537
2025-07-22 01:10:05,2,0.00375009,12.28,18.48,6.200000000000001,26.25,26.655,97.3983,451.4,72.28,59.56,14.84,30.27,-5.4375,-7.625,0.25,0.312502,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,58.19,27.6849,456.2,26.2378,0.7517474571473374
2025-07-22 01:15:05,2,0.00375009,12.34,18.53,6.190000000000001,26.28,26.655,97.2412,450.8,72.33,59.53,14.87,30.32,-5.625,-7.625,0.25,0.237501,0.05,0.05,0.05,0.05,12.5,0,0,AC_LAB,58.38,27.6849,455.6,26.264,0.7570768440197821
